,Date,Open,High,Low,Close,Volume,Adj_Close
2022-12-29 07:03:00,1672308180000,16583.5,16584.0,16583.4,16584.0,110.3,16584.00
2022-12-29 07:04:00,1672308240000,16583.9,16584.1,16583.9,16584.1,45.717,16584.10
2022-12-29 07:05:00,1672308300000,16584.0,16585.7,16584.0,16585.6,66.205,16585.60
2022-12-29 07:06:00,1672308360000,16585.6,16586.8,16585.6,16586.8,42.148,16586.80
2022-12-29 07:07:00,1672308420000,16586.7,16591.9,16586.7,16591.8,120.764,16591.80
2022-12-29 07:08:00,1672308480000,16591.9,16595.0,16591.8,16595.0,128.317,16595.00
2022-12-29 07:09:00,1672308540000,16595.0,16596.9,16594.9,16595.9,82.395,16595.90
2022-12-29 07:10:00,1672308600000,16595.8,16595.9,16590.8,16590.9,128.99,16590.90
2022-12-29 07:11:00,1672308660000,16590.9,16590.9,16588.4,16589.0,148.211,16589.00
2022-12-29 07:12:00,1672308720000,16588.9,16589.1,16587.1,16587.2,92.385,16587.20
2022-12-29 07:13:00,1672308780000,16587.2,16587.2,16586.2,16586.3,61.838,16586.30
2022-12-29 07:14:00,1672308840000,16586.2,16586.3,16582.2,16582.2,109.839,16582.20
2022-12-29 07:15:00,1672308900000,16582.3,16582.3,16580.7,16581.8,113.057,16581.80
2022-12-29 07:16:00,1672308960000,16581.9,16586.0,16580.2,16585.9,128.639,16585.90
2022-12-29 07:17:00,1672309020000,16586.0,16590.5,16585.9,16586.8,140.403,16586.80
2022-12-29 07:18:00,1672309080000,16586.8,16587.0,16585.9,16587.0,103.289,16587.00
2022-12-29 07:19:00,1672309140000,16586.9,16588.1,16586.9,16588.1,42.804,16588.10
2022-12-29 07:20:00,1672309200000,16588.0,16590.6,16588.0,16590.5,80.235,16590.50
2022-12-29 07:21:00,1672309260000,16590.6,16595.0,16590.5,16592.1,93.135,16592.10
2022-12-29 07:22:00,1672309320000,16592.2,16595.8,16592.1,16595.8,138.504,16595.80
2022-12-29 07:23:00,1672309380000,16595.8,16598.7,16589.3,16589.4,216.157,16589.40
2022-12-29 07:24:00,1672309440000,16589.3,16589.4,16589.3,16589.4,46.475,16589.40
2022-12-29 07:25:00,1672309500000,16589.3,16589.4,16587.6,16588.3,68.765,16588.30
2022-12-29 07:26:00,1672309560000,16588.4,16589.0,16588.3,16588.9,66.194,16588.90
2022-12-29 07:27:00,1672309620000,16589.0,16589.0,16583.0,16583.1,71.574,16583.10
2022-12-29 07:28:00,1672309680000,16583.1,16583.1,16580.2,16580.3,96.165,16580.30
2022-12-29 07:29:00,1672309740000,16580.2,16580.3,16578.5,16579.9,235.942,16579.90
2022-12-29 07:30:00,1672309800000,16579.9,16582.9,16578.0,16578.1,168.09,16578.10
2022-12-29 07:31:00,1672309860000,16578.0,16578.1,16574.2,16576.1,186.959,16576.10
2022-12-29 07:32:00,1672309920000,16576.0,16581.4,16576.0,16581.3,117.205,16581.30
2022-12-29 07:33:00,1672309980000,16581.4,16582.0,16579.7,16579.8,98.584,16579.80
2022-12-29 07:34:00,1672310040000,16579.7,16580.4,16579.0,16579.1,31.663,16579.10
2022-12-29 07:35:00,1672310100000,16579.0,16582.2,16579.0,16582.1,63.457,16582.10
2022-12-29 07:36:00,1672310160000,16582.2,16585.9,16582.2,16582.6,125.521,16582.60
2022-12-29 07:37:00,1672310220000,16582.6,16583.4,16582.5,16583.4,41.677,16583.40
2022-12-29 07:38:00,1672310280000,16583.4,16584.5,16583.3,16584.0,51.831,16584.00
2022-12-29 07:39:00,1672310340000,16584.0,16584.6,16582.9,16584.6,56.115,16584.60
2022-12-29 07:40:00,1672310400000,16584.5,16585.0,16584.5,16584.9,39.063,16584.90
2022-12-29 07:41:00,1672310460000,16585.0,16590.6,16584.9,16590.5,84.877,16590.50
2022-12-29 07:42:00,1672310520000,16590.6,16596.8,16590.5,16590.5,166.123,16590.50
2022-12-29 07:43:00,1672310580000,16590.6,16590.6,16589.4,16590.6,95.638,16590.60
2022-12-29 07:44:00,1672310640000,16590.5,16590.6,16590.0,16590.1,40.154,16590.10
2022-12-29 07:45:00,1672310700000,16590.1,16593.7,16590.0,16592.0,76.594,16592.00
2022-12-29 07:46:00,1672310760000,16592.0,16592.1,16592.0,16592.1,28.877,16592.10
2022-12-29 07:47:00,1672310820000,16592.0,16597.8,16592.0,16594.5,117.822,16594.50
2022-12-29 07:48:00,1672310880000,16594.5,16598.0,16592.6,16597.9,161.984,16597.90
2022-12-29 07:49:00,1672310940000,16597.9,16598.6,16597.9,16598.6,83.115,16598.60
2022-12-29 07:50:00,1672311000000,16598.5,16598.6,16597.0,16597.0,170.354,16597.00
2022-12-29 07:51:00,1672311060000,16597.1,16597.1,16596.2,16596.3,61.009,16596.30
2022-12-29 07:52:00,1672311120000,16596.2,16606.3,16596.2,16598.6,338.858,16598.60
2022-12-29 07:53:00,1672311180000,16598.5,16598.6,16595.0,16595.0,189.545,16595.00
2022-12-29 07:54:00,1672311240000,16595.0,16595.1,16590.0,16590.1,133.31,16590.10
2022-12-29 07:55:00,1672311300000,16590.1,16592.2,16589.3,16592.1,78.659,16592.10
